,isFraud,TransactionID
0,0.0,2987000
1,0.0,2987001
2,0.0,2987002
3,0.0,2987003
4,1.0,2987004
5,0.0,2987005
6,0.0,2987006
7,0.0,2987007
8,1.0,2987008
9,1.0,2987009
10,0.0,2987010
11,1.0,2987011
12,0.0,2987012
13,0.0,2987013
14,0.0,2987014
15,0.0,2987015
16,0.0,2987016
17,0.0,2987017
18,0.0,2987018
19,0.0,2987019
20,0.0,2987020
21,0.0,2987021
22,0.0,2987022
23,0.0,2987023
24,0.0,2987024
25,0.0,2987025
26,0.0,2987026
27,0.0,2987027
28,0.0,2987028
29,0.0,2987029
30,0.0,2987030
31,0.0,2987031
32,0.0,2987032
33,0.0,2987033
34,0.0,2987034
35,0.0,2987035
36,0.0,2987036
37,0.0,2987037
38,0.0,2987038
39,0.0,2987039
40,1.0,2987040
41,0.0,2987041
42,0.0,2987042
43,0.0,2987043
44,0.0,2987044
45,0.0,2987045
46,0.0,2987046
47,0.0,2987047
48,1.0,2987048
49,1.0,2987049
50,0.0,2987050
51,0.0,2987051
52,0.0,2987052
53,0.0,2987053
54,0.0,2987054
55,0.0,2987055
56,0.0,2987056
57,0.0,2987057
58,0.0,2987058
59,0.0,2987059
60,0.0,2987060
61,0.0,2987061
62,0.0,2987062
63,0.0,2987063
64,0.0,2987064
65,0.0,2987065
66,0.0,2987066
67,0.0,2987067
68,0.0,2987068
69,0.0,2987069
70,1.0,2987070
71,0.0,2987071
72,1.0,2987072
73,0.0,2987073
74,1.0,2987074
75,0.0,2987075
76,0.0,2987076
77,0.0,2987077
78,0.0,2987078
79,0.0,2987079
80,0.0,2987080
81,0.0,2987081
82,0.0,2987082
83,0.0,2987083
84,1.0,2987084
85,0.0,2987085
86,0.0,2987086
87,0.0,2987087
88,0.0,2987088
89,0.0,2987089
90,0.0,2987090
91,0.0,2987091
92,0.0,2987092
93,1.0,2987093
94,0.0,2987094
95,0.0,2987095
96,0.0,2987096
97,0.0,2987097
98,0.0,2987098
99,1.0,2987099
100,0.0,2987100
101,0.0,2987101
102,0.0,2987102
103,0.0,2987103
104,1.0,2987104
105,1.0,2987105
106,0.0,2987106
107,0.0,2987107
108,0.0,2987108
109,0.0,2987109
110,0.0,2987110
111,1.0,2987111
112,0.0,2987112
113,0.0,2987113
114,1.0,2987114
115,0.0,2987115
116,0.0,2987116
117,0.0,2987117
118,0.0,2987118
119,1.0,2987119
120,0.0,2987120
121,0.0,2987121
122,0.0,2987122
123,0.0,2987123
124,0.0,2987124
125,0.0,2987125
126,0.0,2987126
127,0.0,2987127
128,0.0,2987128
129,0.0,2987129
130,0.0,2987130
131,0.0,2987131
132,0.0,2987132
133,0.0,2987133
134,0.0,2987134
135,0.0,2987135
136,0.0,2987136
137,0.0,2987137
138,0.0,2987138
139,0.0,2987139
140,0.0,2987140
141,0.0,2987141
142,0.0,2987142
143,0.0,2987143
144,1.0,2987144
145,1.0,2987145
146,0.0,2987146
147,0.0,2987147
148,1.0,2987148
149,0.0,2987149
150,0.0,2987150
151,0.0,2987151
152,0.0,2987152
153,0.0,2987153
154,0.0,2987154
155,0.0,2987155
156,1.0,2987156
157,0.0,2987157
158,0.0,2987158
159,0.0,2987159
160,0.0,2987160
161,0.0,2987161
162,0.0,2987162
163,0.0,2987163
164,0.0,2987164
165,0.0,2987165
166,0.0,2987166
167,0.0,2987167
168,0.0,2987168
169,0.0,2987169
170,0.0,2987170
171,0.0,2987171
172,0.0,2987172
173,1.0,2987173
174,0.0,2987174
175,0.0,2987175
176,0.0,2987176
177,0.0,2987177
178,1.0,2987178
179,0.0,2987179
180,0.0,2987180
181,0.0,2987181
182,0.0,2987182
183,1.0,2987183
184,0.0,2987184
185,0.0,2987185
186,0.0,2987186
187,0.0,2987187
188,0.0,2987188
189,1.0,2987189
190,1.0,2987190
191,0.0,2987191
192,1.0,2987192
193,0.0,2987193
194,0.0,2987194
195,1.0,2987195
196,1.0,2987196
197,1.0,2987197
198,1.0,2987198
199,1.0,2987199
200,0.0,2987200
201,0.0,2987201
202,0.0,2987202
203,0.0,2987203
204,0.0,2987204
205,0.0,2987205
206,0.0,2987206
207,1.0,2987207
208,0.0,2987208
209,1.0,2987209
210,0.0,2987210
211,1.0,2987211
212,0.0,2987212
213,0.0,2987213
214,0.0,2987214
215,0.0,2987215
216,0.0,2987216
217,0.0,2987217
218,0.0,2987218
219,0.0,2987219
220,0.0,2987220
221,0.0,2987221
222,0.0,2987222
223,0.0,2987223
224,0.0,2987224
225,0.0,2987225
226,1.0,2987226
227,0.0,2987227
228,0.0,2987228
229,0.0,2987229
